'[q1.0, #, a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
'[#, i, a]', '[I, a]', '[q2.1.4, c, a]', '[c, a]', '[b, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
'[#, i, a]', '[q2.1.4, I, a]', '[c, a]', '[c, a]', '[b, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
'[#, q2.1.5, i, a]', '[I, a]', '[c, a]', '[c, a]', '[b, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
'[#, i, a]', '[q2.1.1, I, a]', '[c, a]', '[c, a]', '[b, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
'[#, i, a]', '[i, a]', '[q2.1.2, c, a]', '[c, a]', '[b, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
'[#, i, a]', '[i, a]', '[c, a]', '[q2.1.2, c, a]', '[b, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
'[#, i, a]', '[i, a]', '[c, a]', '[c, a]', '[q2.1.2, b, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
'[#, i, a]', '[i, a]', '[c, a]', '[c, a]', '[c, a]', '[q2.1.3, a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
'[#, i, a]', '[i, a]', '[c, a]', '[c, a]', '[q2.1.4, c, a]', '[b, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
'[#, i, a]', '[i, a]', '[c, a]', '[q2.1.4, c, a]', '[c, a]', '[b, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a]', '[a, a, #]'
